[2024-09-28 20:23:23] Client IP: 127.0.0.1, Port: 36872, File: N/A, Status: Connected
[2024-09-28 20:23:23] Client IP: 127.0.0.1, Port: 36872, File: POST, Status: Transfer failed
[2024-09-28 20:23:32] Client IP: 127.0.0.1, Port: 41788, File: N/A, Status: Connected
[2024-09-28 20:23:32] Client IP: 127.0.0.1, Port: 41788, File: POST, Status: Transfer failed
[2024-09-28 21:19:39] Client IP: 127.0.0.1, Port: 55384, File: N/A, Status: Connected
[2024-09-28 21:20:05] Client IP: 127.0.0.1, Port: 55384, File: windows-11-23h2.iso, Status: Transfer failed
[2024-09-28 21:20:11] Client IP: 127.0.0.1, Port: 46676, File: N/A, Status: Connected
[2024-09-28 21:20:31] Client IP: 127.0.0.1, Port: 46676, File: windows-11-23h2.iso, Status: Resume transfer successful
[2024-09-28 21:21:19] Client IP: 127.0.0.1, Port: 50942, File: N/A, Status: Connected
[2024-09-28 21:21:35] Client IP: 127.0.0.1, Port: 46414, File: N/A, Status: Connected
[2024-09-28 21:22:12] Client IP: 127.0.0.1, Port: 50942, File: windows-11-23h2.iso, Status: Upload successful
[2024-09-28 21:22:16] Client IP: 127.0.0.1, Port: 46414, File: windows-11-23h2.iso, Status: Transfer successful
[2024-09-28 21:24:13] Client IP: 127.0.0.1, Port: 43128, File: N/A, Status: Connected
[2024-09-28 21:24:15] Client IP: 127.0.0.1, Port: 43142, File: N/A, Status: Connected
[2024-09-28 21:24:15] Client IP: 127.0.0.1, Port: 43156, File: N/A, Status: Connected
[2024-09-28 21:24:16] Client IP: 127.0.0.1, Port: 43162, File: N/A, Status: Connected
[2024-09-28 21:24:17] Client IP: 127.0.0.1, Port: 43178, File: N/A, Status: Connected
[2024-09-28 21:24:18] Client IP: 127.0.0.1, Port: 43194, File: N/A, Status: Connected
[2024-09-28 21:24:19] Client IP: 127.0.0.1, Port: 43210, File: N/A, Status: Connected
[2024-09-28 21:24:20] Client IP: 127.0.0.1, Port: 43218, File: N/A, Status: Connected
[2024-09-28 21:24:21] Client IP: 127.0.0.1, Port: 43222, File: N/A, Status: Connected
[2024-09-28 21:24:21] Client IP: 127.0.0.1, Port: 36716, File: N/A, Status: Connected
[2024-09-28 21:25:56] Client IP: 127.0.0.1, Port: 43222, File: windows-11-23h2.iso, Status: Upload successful
[2024-09-28 21:27:38] Client IP: 127.0.0.1, Port: 43194, File: windows-11-23h2.iso, Status: Upload successful
[2024-09-28 21:27:52] Client IP: 127.0.0.1, Port: 43210, File: windows-11-23h2.iso, Status: Upload successful
[2024-09-28 21:27:53] Client IP: 127.0.0.1, Port: 43218, File: windows-11-23h2.iso, Status: Upload successful
[2024-09-28 21:28:13] Client IP: 127.0.0.1, Port: 36716, File: windows-11-23h2.iso, Status: Upload successful
[2024-09-28 21:28:17] Client IP: 127.0.0.1, Port: 43128, File: windows-11-23h2.iso, Status: Transfer successful
[2024-09-28 21:28:25] Client IP: 127.0.0.1, Port: 43142, File: windows-11-23h2.iso, Status: Transfer successful
[2024-09-28 21:28:28] Client IP: 127.0.0.1, Port: 43156, File: windows-11-23h2.iso, Status: Transfer successful
[2024-09-28 21:28:28] Client IP: 127.0.0.1, Port: 43162, File: windows-11-23h2.iso, Status: Transfer successful
[2024-09-28 21:28:28] Client IP: 127.0.0.1, Port: 43178, File: windows-11-23h2.iso, Status: Transfer successful
